"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"lefse","lefse","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"R (>= 2.10)","ape, picante, geiger, fBasics, SDMTools, vegan",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.2.4"
"leiv","leiv","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0-7",NA,"R (>= 2.9.0)","methods, stats, graphics",NA,"grDevices",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"LeLogicielR","LeLogicielR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"xtable, RColorBrewer, gdata, IndependenceTests",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"lestat","lestat","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.8",NA,"R (>= 1.8.0), stats, MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lettercase","lettercase","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.13.1",NA,"R (>= 3.1.0), stringr (>= 1.0.0)",NA,NA,"testthat, knitr, magrittr (>= 1.5)",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"LexisPlotR","LexisPlotR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2",NA,"R (>= 3.0.0), ggplot2 (>= 1.0.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lfactors","lfactors","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.7.0",NA,"R (>= 3.1.0), methods, stats, utils",NA,NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lfda","lfda","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.1",NA,"R (>= 3.1.0)","plyr, grDevices, rARPACK",NA,"testthat, rgl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"LFDR.MLE","LFDR.MLE","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"stats, methods",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"lfe","lfe","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.4-1788",NA,"R (>= 2.15.2), Matrix (>= 1.1-2)","Formula, xtable, compiler, utils, methods, sandwich",NA,"knitr, igraph, plm",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.2.4"
"lfstat","lfstat","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.8.0",NA,"R (>= 2.10), xts, lmom","lmomRFA, dygraphs, zoo, lattice, latticeExtra",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lga","lga","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1-1",NA,"R (>= 2.2.1)","boot, lattice",NA,"snow, MASS, maps",NA,"GPL",NA,NA,NA,NA,NA,"3.2.4"
"lgarch","lgarch","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6-2",NA,"R (>= 2.15.0), zoo",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"LGEWIS","LGEWIS","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2",NA,"CompQuadForm, SKAT, geeM, pls, splines",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"LGRF","LGRF","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"CompQuadForm, SKAT, geepack",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"lgtdl","lgtdl","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.3",NA,"R(>= 1.2)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lhs","lhs","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.13",NA,"R (>= 2.14.2)",NA,NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"libamtrack","libamtrack","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6.3",NA,"R (>= 2.11.0)",NA,NA,"lattice",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"LiblineaR","LiblineaR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.94-2",NA,NA,NA,NA,"SparseM",NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"LiblineaR.ACF","LiblineaR.ACF","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.94-2",NA,NA,NA,NA,"SparseM, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"Libra","Libra","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5",NA,"R (>= 3.0), nnls",NA,NA,"lars, MASS, igraph",NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"LICORS","LICORS","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2.0",NA,"R (>= 2.12.1)","RColorBrewer, mvtnorm, zoo, FNN, fields, locfit, Matrix",NA,"huge, RANN, yaImpute, itertools",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"LICurvature","LICurvature","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.1",NA,"R (>= 2.14.0), MASS,stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lifecontingencies","lifecontingencies","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.10",NA,"R (>= 3.0.0), methods","parallel, utils, markovchain, Rcpp, stats","Rcpp","demography, forecast, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"LifeHist","LifeHist","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-1",NA,"R (>= 3.0.0), Hmisc","optimx (>= 2013.8.6), BB",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"LifeTables","LifeTables","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.10), mclust",NA,NA,"gWidgets, gWidgetsRGtk2, RGtk2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lift","lift","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.0.2",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"liftr","liftr","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3",NA,"R (>= 3.0.2)","yaml, knitr, rmarkdown, stringr",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"lightsout","lightsout","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2.1",NA,"R (>= 3.0.0)","magrittr (>= 1.5), shiny (>= 0.10.0), shinyjs (>= 0.3.0),
stats, utils",NA,"knitr (>= 1.7), testthat (>= 0.9.1), rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"likelihood","likelihood","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.7",NA,"R (>= 2.1.1), nlme",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"likelihoodAsy","likelihoodAsy","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.40","optional","nleqslv, Rsolnp, alabama, pracma, cond",NA,NA,"MASS, lme4, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"likeLTD","likeLTD","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","6.0.4",NA,"R (>= 2.10), DEoptim, ggplot2, gtools, rtf","gdata, tools, tcltk",NA,"svUnit, scales",NA,"GPL-3",NA,NA,NA,NA,"yes","3.2.4"
"likert","likert","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3.3",NA,"R (>= 3.0),ggplot2,xtable","psych,reshape2,gridExtra,grid,plyr",NA,"devtools,shiny",NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"LIM","LIM","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4.6",NA,"R (>= 2.10), limSolve, diagram",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"limitplot","limitplot","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"limSolve","limSolve","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5.5.1",NA,"R (>= 2.10)","quadprog, lpSolve, MASS",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.2.4"
"linbin","linbin","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.1",NA,"R (>= 3.0.1)","stats, utils, graphics, grDevices",NA,"knitr",NA,"AGPL-3",NA,NA,NA,NA,"no","3.2.4"
"LinCal","LinCal","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 3.0.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"LindenmayeR","LindenmayeR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.6",NA,"stringr, grid",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"LinearizedSVR","LinearizedSVR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3",NA,NA,"kernlab, LiblineaR, expectreg",NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"LinearRegressionMDE","LinearRegressionMDE","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 3.2.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"linERR","linERR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 3.1.1), survival, stats4",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"lineup","lineup","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.37-6",NA,"R (>= 2.10.1)","qtl (>= 1.20-15), class, graphics, grDevices, utils, stats,
parallel",NA,"roxygen2, knitr, rmarkdown, devtools, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.2.4"
"linkcomm","linkcomm","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-11",NA,"igraph, RColorBrewer","dynamicTreeCut, grid, utils",NA,"fastcluster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"LinkedMatrix","LinkedMatrix","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.0",NA,NA,"methods",NA,"testthat, ff",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"linkim","linkim","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"R(>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"linkR","linkR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.1",NA,"R (>= 2.11.0), svgViewR",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"linLIR","linLIR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"linprog","linprog","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.9-2",NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"LINselect","LINselect","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.0-2",NA,NA,"mvtnorm, elasticnet, MASS, randomForest, pls, gtools, stats",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"lint","lint","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3",NA,"R (>= 3.0)","plyr, harvestr, stringr, dostats, foreach",NA,"testthat, roxygen2",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"lintools","lintools","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.1.1",NA,NA,"utils",NA,"testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.2.4"
"liso","liso","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2",NA,"MASS, Iso",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.2.4"
"lisp","lisp","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,NA,NA,NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"lisrelToR","lisrelToR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.4",NA,"R (>= 2.15.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"list","list","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","8.0",NA,"R (>= 3.2.0), utils, sandwich (>= 2.3-3)","VGAM (>= 0.9-8), magic (>= 1.5-6), gamlss.dist (>= 4.3-4),
MASS (>= 7.3-40), quadprog (>= 1.5-5), corpcor (>= 1.6.7),
mvtnorm (>= 1.0-2), coda (>= 0.17-1)",NA,"testthat (>= 0.9.1), knitr (>= 1.10.5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"listenv","listenv","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.2.4"
"LIStest","LIStest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"listWithDefaults","listWithDefaults","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,NA,"assertthat",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"livechatR","livechatR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.0",NA,NA,"dplyr, purrr, jsonlite, data.table, magrittr",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"llama","llama","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.9.1",NA,"R (>= 2.10), mlr (>= 2.5)","rJava, parallelMap, ggplot2, checkmate, BBmisc, plyr",NA,"testthat, ParamHelpers",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"lle","lle","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"scatterplot3d, MASS, snowfall",NA,NA,"rgl",NA,"GPL-3",NA,NA,NA,NA,NA,"3.2.4"
"lllcrc","lllcrc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,NA,"data.table, combinat, VGAM, plyr",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"LLSR","LLSR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.0.2.0",NA,"R (>= 2.10), rootSolve, XLConnect, digest, svDialogs, ggtern",NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"lm.beta","lm.beta","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5-1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lm.br","lm.br","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.8",NA,"R(>= 3.0.1), Rcpp (>= 0.11.0)","stats, methods, graphics, datasets","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"lme4","lme4","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1-11",NA,"R (>= 3.0.2), Matrix (>= 1.1.1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, nlme
(>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, boot, PKPDmodels, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2, numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"lmec","lmec","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"mvtnorm",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"lmeNB","lmeNB","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3",NA,"numDeriv,statmod,lmeNBBayes",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"lmeNBBayes","lmeNBBayes","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3.1",NA,"",NA,"",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"lmenssp","lmenssp","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"MASS, nlme, mvtnorm, geoR,",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"LMERConvenienceFunctions","LMERConvenienceFunctions","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.10",NA,NA,"Matrix, lme4, LCFdata, rgl, fields, mgcv, parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lmerTest","lmerTest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0-30",NA,"R (>= 3.0.0), Matrix, stats, methods, lme4 (>= 1.0)","plyr, MASS, Hmisc, ggplot2",NA,"pbkrtest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lmeSplines","lmeSplines","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1-10",NA,"nlme(>= 3.1-29)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"LMest","LMest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.2",NA,"R (>= 2.0.0), MASS, MultiLCIRT, stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"lmeVarComp","lmeVarComp","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,"RLRsim, varComp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"lmf","lmf","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lmfor","lmfor","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"stats4, nlme, MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lmm","lmm","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","3.2.4"
"lmmlasso","lmmlasso","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1-2",NA,"methods, emulator, miscTools, penalized",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.2.4"
"lmmot","lmmot","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.3",NA,"maxLik, MASS",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"lmms","lmms","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3.3",NA,"R (>= 3.0.0), ggplot2","stats, methods, nlme, lmeSplines, parallel, reshape2, gdata,
gplots, gridExtra",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lmodel2","lmodel2","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.7-2",NA,"R (>= 2.14.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lmom","lmom","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.5",NA,NA,"stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","3.2.4"
"lmomco","lmomco","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.1.4",NA,"R (>= 2.10.0), utils",NA,NA,"copBasic, Lmoments",NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"Lmoments","Lmoments","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2-3",NA,NA,"stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"lmomRFA","lmomRFA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3.0-1",NA,"lmom (>= 2.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","3.2.4"
"lmSupport","lmSupport","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.9.2",NA,"car","psych, gvlma, AICcmodavg, lme4, pbkrtest",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"lmtest","lmtest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.9-34",NA,"R (>= 2.10.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.2.4"
"LncMod","LncMod","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"R (>= 2.15.2),survival,pheatmap,parallel",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"loa","loa","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2.38",NA,"R (>= 3.0.0), lattice","methods, MASS, grid, png, RgoogleMaps, RColorBrewer, mgcv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"localdepth","localdepth","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.5-7",NA,"R (>= 3.0.0), circular",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"localgauss","localgauss","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.35",NA,"ggplot2, MASS, foreach, matrixStats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"localsolver","localsolver","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.3",NA,"R (>= 3.0.1)",NA,NA,"knitr",NA,"LGPL-2.1",NA,NA,NA,NA,"no","3.2.4"
"locfdr","locfdr","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1-8",NA,NA,"stats, splines, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"LocFDRPois","LocFDRPois","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,"R (>= 3.1.2)","dplyr, ggplot2",NA,"knitr",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"locfit","locfit","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5-9.1",NA,"R (>= 2.0.1)","lattice",NA,"akima, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"locits","locits","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4",NA,"R (>= 2.0), wavethresh, igraph",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"Lock5Data","Lock5Data","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.6",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"Lock5withR","Lock5withR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.2",NA,"R (>= 2.10)",NA,NA,"lubridate, lattice, mosaic",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"locpol","locpol","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6-0",NA,"R (>= 2.5.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"lodGWAS","lodGWAS","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-7",NA,"R (>= 3.0.0)","survival, rms, stats, utils",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"loe","loe","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"R (>= 3.2.3), MASS",NA,NA,"igraph, Matrix, vegan",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"log4r","log4r","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2",NA,NA,NA,NA,"testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.2.4"
"logbin","logbin","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"R (>= 3.0.1)","splines, glm2",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"LogConcDEAD","LogConcDEAD","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5-9",NA,"R (>= 3.0), MASS, mvtnorm",NA,NA,"logcondens, rgl, mclust, tkrplot",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"logconcens","logconcens","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.16-4",NA,"R (>= 2.15.0), base, methods, utils, grDevices, graphics,
stats",NA,NA,"logcondens",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"logcondens","logcondens","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.1.4",NA,"R (>= 2.10)","ks, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"logcondens.mode","logcondens.mode","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.1",NA,"logcondens","distr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"logcondiscr","logcondiscr","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.6",NA,"Matrix, mvtnorm, cobs","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"logconPH","logconPH","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"logging","logging","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.7-103",NA,"R (>= 2.12.0), methods",NA,NA,"svUnit, XML",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"LogicForest","LogicForest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.1.0",NA,"R (>= 2.10), LogicReg, CircStats","gtools, plotrix",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"LOGICOIL","LOGICOIL","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.99.0",NA,"R (>= 2.12), nnet",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"LogicReg","LogicReg","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5.8",NA,"R (>= 2.10), survival","stats, graphics, utils, grDevices",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"logistf","logistf","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.21",NA,"R (>= 3.0.0), mice, mgcv",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.2.4"
"LogisticDx","LogisticDx","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2",NA,"R (>= 3.0.0)","rms, stats, statmod, graphics, speedglm, RColorBrewer,
data.table, pROC, aod",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
